bin/fm-routing-decision-lib.sh	270	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "effort config has no fixed literal value"
bin/fm-routing-decision-lib.sh	271	failure-return	return 1
bin/fm-routing-decision-lib.sh	281	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "effort spelling is not supported by the selected raw harness"
bin/fm-routing-decision-lib.sh	282	failure-return	return 1
bin/fm-routing-decision-lib.sh	288	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "effort value is not supported by the selected raw harness"
bin/fm-routing-decision-lib.sh	289	failure-return	return 1
bin/fm-routing-decision-lib.sh	306	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch contains a reserved template placeholder expanded after receipt validation"
bin/fm-routing-decision-lib.sh	307	failure-return	return 1
bin/fm-routing-decision-lib.sh	312	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "launch syntax contains expansion, substitution, control operators, or unbalanced quoting"
bin/fm-routing-decision-lib.sh	313	failure-return	return 1
bin/fm-routing-decision-lib.sh	320	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch environment assignments can select an unobserved runtime"
bin/fm-routing-decision-lib.sh	321	failure-return	return 1
bin/fm-routing-decision-lib.sh	327	failure-return	harness_word=$(fm_routing_raw_harness_for_executable "$word") || return 1
bin/fm-routing-decision-lib.sh	336	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch environment assignments can select an unobserved runtime"
bin/fm-routing-decision-lib.sh	337	failure-return	return 1
bin/fm-routing-decision-lib.sh	344	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "model flag is missing a value or duplicated"
bin/fm-routing-decision-lib.sh	345	failure-return	return 1
bin/fm-routing-decision-lib.sh	350	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "model flag has no fixed literal value"
bin/fm-routing-decision-lib.sh	351	failure-return	return 1
bin/fm-routing-decision-lib.sh	357	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "model flag is duplicated"
bin/fm-routing-decision-lib.sh	358	failure-return	return 1
bin/fm-routing-decision-lib.sh	362	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "model flag has no fixed literal value"
bin/fm-routing-decision-lib.sh	363	failure-return	return 1
bin/fm-routing-decision-lib.sh	368	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch uses a non-standard model flag spelling"
bin/fm-routing-decision-lib.sh	369	failure-return	return 1
bin/fm-routing-decision-lib.sh	372	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch uses an unattested model or fallback selector"
bin/fm-routing-decision-lib.sh	373	failure-return	return 1
bin/fm-routing-decision-lib.sh	377	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch uses an unattested model-bearing Claude configuration"
bin/fm-routing-decision-lib.sh	378	failure-return	return 1
bin/fm-routing-decision-lib.sh	383	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch uses an unattested Codex model or provider configuration"
bin/fm-routing-decision-lib.sh	384	failure-return	return 1
bin/fm-routing-decision-lib.sh	388	refusal-call	fm_routing_refuse "RAW_LAUNCH_NOT_VERIFIABLE" "raw launch uses an unattested provider, account, router, or backend selector"
